nationality,most common name,second most common name,third most common name,most common name count,second most common name count,third most common name count
Uganda,Idi Amin,Abraham 'Abramz' Tekya,General Idi Amin,2,1,1
Ukraine,Eugene Hütz,Sofia Rotaru,Yuri,2,2,2
United Kingdom,Tony Blair,Gordon Brown,Tony Benn,3,2,2
United States,Altaira,Anna Scott,Anne Bonny,1,1,1
Uruguay,Julia,Alberto Antuna,Ana,2,1,1
Uzbekistan,Anzirat,Bakhtiyor,Bozorboy,1,1,1
Venezuela,Hugo Chavez,Mimi-Siku,Abel,2,2,1
Yemen,Bilquis,Ines,Omar,1,1,1
Zambia,Angus Buchan,,,1,0,0
Zimbabwe,Betty Makoni,Danny Archer,Energy Maburutse,1,1,1
